"Source","WHO_REGION","Region","Country","ISO3","ISO2","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","SiteID","Longitude","Latitude","Georeliability","Location_type","Survey_type","Year","Age_start","Age_end","HK_examined","HK_positive","HK_prevalence","HK_Perc_HighInfection","HK_Perc_ModerateInfection","Asc_examined","Asc_positive","Asc_prevalence","Asc_Perc_HighInfection","Asc_Perc_ModerateInfection","TT_examined","TT_positive","TT_prevalence","TT_Perc_HighInfection","TT_Perc_ModerateInfection","STH_examined","STH_positive","STH_prevalence","Cum_Prevalence","Quality","Dups","SN","endnote_id","Composite_IU_ID"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","",null,"",null,"",null,"2 Schools in Wondo-Genet",null,null,null,"99","","","2003","6","19","0.0","0.0","0.0",null,null,"534.0","432","0.80898876399999997",null,null,"534.0","485.0","0.90823969999999998",null,null,"0","0","0.0","0.92686108700000003","2","0","30183","ETH0101","AETH   NA   NA"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","",null,"",null,"",null,"4 Villages",null,null,null,"99","","","2000","1","4","563.0","58.0","0.10301953799999999",null,null,"563.0","213","0.378330373",null,null,"563.0","301.0","0.53463587899999998",null,null,"0","0","0.0","0.69858593899999999","3","0","30180","ETH0093","AETH   NA   NA"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","",null,"",null,"",null,"6 Elementary Schools",null,null,null,"99","","","2000","7","25","421.0","113.0","0.268408551",null,null,"0.0","0","0.0",null,null,"0.0","0.0","0.0",null,null,"0","0","0.0","0.268408551","3","0","30181","ETH0094","AETH   NA   NA"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","","1950","Segen",null,"Segen","22487","Aba Roba",null,"37.265000000000001","5.2510000000000003","4","","","1993","0","99","128.0","0.0","0.0",null,null,"128.0","0","0.0",null,null,"128.0","1.0","0.0078125",null,null,"0","0","0.0","0.0078125","3","2","28778","ETH0015","AETH0195022487"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Oromiya","1949","E. Harerge","3143","Gursum (Oromia)","18889","Abadir","52341","42.396940000000001","9.3010169000000005","1","","","2009",null,null,"91.0","9.0","9.8901099000000006E-2",null,null,"91.0","4","0.043956044",null,null,"91.0","0.0","0.0",null,null,null,null,"0.0","0.13066966199999999","1","0","5166","","AETH0194918889"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","","1948","Finfine Zuriya",null,"Finfine Zuriya","16645","Abaya",null,"38.665999999999997","9.4019999999999992","4","","","1999","5","18","0.0","0.0","0.0",null,null,"161.0","137","0.85093167700000005",null,null,"161.0","155.0","0.96273291900000002",null,null,"0","0","0.0","0.93815533799999995","3","2","30100","ETH0030","AETH0194816645"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Oromiya","1948","W. Harerge","3189","Mieso","18966","Abaye Deneba Village","52466","40.489674000000001","9.1450005000000001","3","","","2008",null,null,"0.0","0.0","0.0",null,null,"491.0","41","8.3503055000000007E-2",null,null,"491.0","46.0","9.3686353999999999E-2",null,null,null,null,"0.0","0.15977954","1","0","5214","","AETH0194818966"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","",null,"",null,"",null,"Abbo Elementary",null,null,null,"99","","","1994","5","16","56.0","5.0","8.9285714000000002E-2",null,null,"56.0","42","0.75",null,null,"56.0","19.0","0.33928571400000002",null,null,"0","0","0.0","0.80148067499999998","3","0","28786","ETH0070","AETH   NA   NA"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Oromiya","1948","Borena","3135","Dugda Dawa","18845","Abdi Boru","52290","38.267100999999997","5.3957499999999996","3","","","2009",null,null,"107.0","17.0","0.158878505",null,null,"107.0","9","8.4112149999999997E-2",null,null,"107.0","7.0","6.5420561000000002E-2",null,null,null,null,"0.0","0.26417478500000002","1","0","5147","","AETH0194818845"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","",null,"",null,"",null,"Abebayen",null,null,null,"99","","","1995","7","19","118.0","0.0","0.0",null,null,"118.0","46","0.38983050800000002",null,null,"118.0","4.0","3.3898304999999997E-2",null,null,"0","0","0.0","0.38727756600000002","3","0","31540","ETH0059","AETH   NA   NA"
